Image Name,Predicted,Ground Truth
Adristyrannus Adult\64004.jpg,0,0
Adristyrannus Adult\64005.jpg,0,0
Adristyrannus Adult\64015.jpg,14,0
Adristyrannus Adult\64022.jpg,0,0
Adristyrannus Adult\64029.jpg,0,0
Adristyrannus Adult\64031.jpg,0,0
Adristyrannus Adult\64032.jpg,0,0
Adristyrannus Adult\64033.jpg,0,0
Adristyrannus Adult\64037.jpg,0,0
Adristyrannus Adult\64039.jpg,97,0
Adristyrannus Adult\64044.jpg,0,0
Adristyrannus Adult\64054.jpg,0,0
Adristyrannus Adult\64057.jpg,102,0
Adristyrannus Adult\64063.jpg,160,0
Adristyrannus Adult\64075.jpg,0,0
Adristyrannus Adult\64080.jpg,0,0
Adristyrannus Adult\64081.jpg,0,0
Adristyrannus Adult\64089.jpg,0,0
Adristyrannus Adult\64096.jpg,33,0
Adristyrannus Adult\64097.jpg,0,0
Adristyrannus Adult\64101.jpg,0,0
Adristyrannus Adult\64107.jpg,0,0
Adristyrannus Adult\64111.jpg,0,0
Adristyrannus Adult\64117.jpg,0,0
Adristyrannus Adult\64134.jpg,0,0
Adristyrannus Adult\64148.jpg,0,0
Adristyrannus Adult\64149.jpg,0,0
Adristyrannus Adult\64151.jpg,0,0
Adristyrannus Adult\64152.jpg,0,0
Adristyrannus Adult\64157.jpg,0,0
Adristyrannus Adult\64164.jpg,33,0
Adristyrannus Adult\64166.jpg,14,0
Adristyrannus Adult\64178.jpg,0,0
Adristyrannus Adult\64185.jpg,0,0
Adristyrannus Adult\64187.jpg,0,0
Adristyrannus Adult\64188.jpg,102,0
Adristyrannus Adult\64190.jpg,0,0
Adristyrannus Adult\64193.jpg,0,0
Adristyrannus Adult\64196.jpg,0,0
Adristyrannus Adult\64199.jpg,0,0
Adristyrannus Adult\64202.jpg,0,0
Adristyrannus Adult\64203.jpg,33,0
Adristyrannus Adult\64215.jpg,0,0
Adristyrannus Adult\64222.jpg,0,0
Adristyrannus Adult\64228.jpg,14,0
Adristyrannus Adult\64229.jpg,79,0
Adristyrannus Adult\64230.jpg,0,0
Adristyrannus Adult\64237.jpg,0,0
Adristyrannus Adult\64240.jpg,29,0
Adristyrannus Adult\64242.jpg,67,0
Adristyrannus Adult\64247.jpg,0,0
Adristyrannus Adult\64257.jpg,33,0
Adristyrannus Adult\64259.jpg,0,0
Adristyrannus Adult\64261.jpg,0,0
Adristyrannus Adult\64263.jpg,0,0
Adristyrannus Adult\64268.jpg,97,0
Adristyrannus Adult\64271.jpg,0,0
Adristyrannus Adult\64276.jpg,0,0
Adristyrannus Adult\64277.jpg,0,0
Adristyrannus Adult\64282.jpg,28,0
Adristyrannus Adult\64283.jpg,86,0
Adristyrannus Adult\64286.jpg,0,0
Adristyrannus Adult\64293.jpg,117,0
Adristyrannus Adult\64295.jpg,0,0
Adristyrannus Adult\64300.jpg,0,0
Adristyrannus Adult\64302.jpg,0,0
Adristyrannus Adult\64303.jpg,0,0
Adristyrannus Adult\64310.jpg,0,0
Adristyrannus Larva\64014.jpg,1,1
Adristyrannus Larva\64026.jpg,1,1
Adristyrannus Larva\64049.jpg,1,1
Adristyrannus Larva\64091.jpg,1,1
Adristyrannus Larva\64092.jpg,5,1
Adristyrannus Larva\64104.jpg,1,1
Adristyrannus Larva\64123.jpg,1,1
Adristyrannus Larva\64124.jpg,5,1
Adristyrannus Larva\64141.jpg,1,1
Adristyrannus Larva\64143.jpg,1,1
Adristyrannus Larva\64170.jpg,63,1
Adristyrannus Larva\64174.jpg,33,1
Adristyrannus Larva\64220.jpg,1,1
Adristyrannus Larva\64223.jpg,1,1
Adristyrannus Larva\64227.jpg,1,1
Adristyrannus Larva\64231.jpg,1,1
Adristyrannus Larva\64250.jpg,147,1
Adristyrannus Larva\64264.jpg,1,1
Adristyrannus Larva\64279.jpg,1,1
Adristyrannus Larva\64280.jpg,1,1
Adristyrannus Larva\64298.jpg,1,1
Aleurocanthus spiniferus Adult\61113.jpg,2,2
Aleurocanthus spiniferus Adult\61121.jpg,2,2
Aleurocanthus spiniferus Adult\61158.jpg,18,2
Aleurocanthus spiniferus Adult\61219.jpg,38,2
Aleurocanthus spiniferus Adult\61240.jpg,2,2
Aleurocanthus spiniferus Adult\61266.jpg,2,2
Aleurocanthus spiniferus Adult\61292.jpg,2,2
Aleurocanthus spiniferus Adult\61322.jpg,2,2
Aleurocanthus spiniferus Adult\61369.jpg,2,2
Aleurocanthus spiniferus Adult\61412.jpg,2,2
Aleurocanthus spiniferus Adult\61515.jpg,2,2
Aleurocanthus spiniferus Adult\61529.jpg,2,2
Aleurocanthus spiniferus Adult\61531.jpg,2,2
Aleurocanthus spiniferus Adult\61556.jpg,3,2
Aleurocanthus spiniferus Adult\61581.jpg,2,2
Aleurocanthus spiniferus Adult\61607.jpg,63,2
Aleurocanthus spiniferus Adult\61653.jpg,2,2
Aleurocanthus spiniferus Adult\61684.jpg,3,2
Aleurocanthus spiniferus Pupa\61018.jpg,3,3
Aleurocanthus spiniferus Pupa\61022.jpg,3,3
Aleurocanthus spiniferus Pupa\61031.jpg,3,3
Aleurocanthus spiniferus Pupa\61035.jpg,3,3
Aleurocanthus spiniferus Pupa\61038.jpg,3,3
Aleurocanthus spiniferus Pupa\61041.jpg,62,3
Aleurocanthus spiniferus Pupa\61044.jpg,3,3
Aleurocanthus spiniferus Pupa\61058.jpg,3,3
Aleurocanthus spiniferus Pupa\61059.jpg,3,3
Aleurocanthus spiniferus Pupa\61067.jpg,114,3
Aleurocanthus spiniferus Pupa\61085.jpg,89,3
Aleurocanthus spiniferus Pupa\61088.jpg,3,3
Aleurocanthus spiniferus Pupa\61094.jpg,3,3
Aleurocanthus spiniferus Pupa\61106.jpg,3,3
Aleurocanthus spiniferus Pupa\61109.jpg,3,3
Aleurocanthus spiniferus Pupa\61115.jpg,3,3
Aleurocanthus spiniferus Pupa\61116.jpg,2,3
Aleurocanthus spiniferus Pupa\61122.jpg,3,3
Aleurocanthus spiniferus Pupa\61128.jpg,3,3
Aleurocanthus spiniferus Pupa\61139.jpg,3,3
Aleurocanthus spiniferus Pupa\61142.jpg,3,3
Aleurocanthus spiniferus Pupa\61146.jpg,3,3
Aleurocanthus spiniferus Pupa\61159.jpg,3,3
Aleurocanthus spiniferus Pupa\61160.jpg,3,3
Aleurocanthus spiniferus Pupa\61161.jpg,3,3
Aleurocanthus spiniferus Pupa\61162.jpg,3,3
Aleurocanthus spiniferus Pupa\61165.jpg,3,3
Aleurocanthus spiniferus Pupa\61171.jpg,3,3
Aleurocanthus spiniferus Pupa\61173.jpg,3,3
Aleurocanthus spiniferus Pupa\61179.jpg,3,3
Aleurocanthus spiniferus Pupa\61182.jpg,3,3
Aleurocanthus spiniferus Pupa\61186.jpg,3,3
Aleurocanthus spiniferus Pupa\61188.jpg,3,3
Aleurocanthus spiniferus Pupa\61192.jpg,3,3
Aleurocanthus spiniferus Pupa\61202.jpg,3,3
Aleurocanthus spiniferus Pupa\61205.jpg,3,3
Aleurocanthus spiniferus Pupa\61206.jpg,3,3
Aleurocanthus spiniferus Pupa\61212.jpg,3,3
Aleurocanthus spiniferus Pupa\61215.jpg,3,3
Aleurocanthus spiniferus Pupa\61216.jpg,3,3
Aleurocanthus spiniferus Pupa\61217.jpg,3,3
Aleurocanthus spiniferus Pupa\61223.jpg,3,3
Aleurocanthus spiniferus Pupa\61224.jpg,3,3
Aleurocanthus spiniferus Pupa\61231.jpg,3,3
Aleurocanthus spiniferus Pupa\61232.jpg,3,3
Aleurocanthus spiniferus Pupa\61241.jpg,3,3
Aleurocanthus spiniferus Pupa\61253.jpg,3,3
Aleurocanthus spiniferus Pupa\61260.jpg,3,3
Aleurocanthus spiniferus Pupa\61265.jpg,3,3
Aleurocanthus spiniferus Pupa\61270.jpg,3,3
Aleurocanthus spiniferus Pupa\61275.jpg,3,3
Aleurocanthus spiniferus Pupa\61284.jpg,3,3
Aleurocanthus spiniferus Pupa\61289.jpg,3,3
Aleurocanthus spiniferus Pupa\61298.jpg,3,3
Aleurocanthus spiniferus Pupa\61300.jpg,3,3
Aleurocanthus spiniferus Pupa\61304.jpg,3,3
Aleurocanthus spiniferus Pupa\61317.jpg,3,3
Aleurocanthus spiniferus Pupa\61326.jpg,3,3
Aleurocanthus spiniferus Pupa\61334.jpg,3,3
Aleurocanthus spiniferus Pupa\61339.jpg,3,3
Aleurocanthus spiniferus Pupa\61343.jpg,3,3
Aleurocanthus spiniferus Pupa\61349.jpg,3,3
Aleurocanthus spiniferus Pupa\61351.jpg,3,3
Aleurocanthus spiniferus Pupa\61353.jpg,3,3
Aleurocanthus spiniferus Pupa\61368.jpg,3,3
Aleurocanthus spiniferus Pupa\61375.jpg,3,3
Aleurocanthus spiniferus Pupa\61380.jpg,3,3
Aleurocanthus spiniferus Pupa\61401.jpg,3,3
Aleurocanthus spiniferus Pupa\61407.jpg,3,3
Aleurocanthus spiniferus Pupa\61408.jpg,3,3
Aleurocanthus spiniferus Pupa\61423.jpg,3,3
Aleurocanthus spiniferus Pupa\61425.jpg,3,3
Aleurocanthus spiniferus Pupa\61426.jpg,3,3
Aleurocanthus spiniferus Pupa\61448.jpg,3,3
Aleurocanthus spiniferus Pupa\61455.jpg,3,3
Aleurocanthus spiniferus Pupa\61457.jpg,3,3
Aleurocanthus spiniferus Pupa\61459.jpg,3,3
Aleurocanthus spiniferus Pupa\61460.jpg,3,3
Aleurocanthus spiniferus Pupa\61467.jpg,3,3
Aleurocanthus spiniferus Pupa\61475.jpg,3,3
Aleurocanthus spiniferus Pupa\61478.jpg,3,3
Aleurocanthus spiniferus Pupa\61480.jpg,3,3
Aleurocanthus spiniferus Pupa\61483.jpg,3,3
Aleurocanthus spiniferus Pupa\61484.jpg,3,3
Aleurocanthus spiniferus Pupa\61490.jpg,3,3
Aleurocanthus spiniferus Pupa\61491.jpg,3,3
Aleurocanthus spiniferus Pupa\61495.jpg,3,3
Aleurocanthus spiniferus Pupa\61497.jpg,3,3
Aleurocanthus spiniferus Pupa\61499.jpg,3,3
Aleurocanthus spiniferus Pupa\61501.jpg,3,3
Aleurocanthus spiniferus Pupa\61507.jpg,3,3
Aleurocanthus spiniferus Pupa\61509.jpg,3,3
Aleurocanthus spiniferus Pupa\61510.jpg,3,3
Aleurocanthus spiniferus Pupa\61521.jpg,3,3
Aleurocanthus spiniferus Pupa\61523.jpg,3,3
Aleurocanthus spiniferus Pupa\61526.jpg,3,3
Aleurocanthus spiniferus Pupa\61541.jpg,3,3
Aleurocanthus spiniferus Pupa\61546.jpg,3,3
Aleurocanthus spiniferus Pupa\61547.jpg,3,3
Aleurocanthus spiniferus Pupa\61548.jpg,3,3
Aleurocanthus spiniferus Pupa\61550.jpg,3,3
Aleurocanthus spiniferus Pupa\61551.jpg,3,3
Aleurocanthus spiniferus Pupa\61565.jpg,3,3
