Image Name,Predicted,Ground Truth
Adult\00063.jpg,0,0
Adult\00108.jpg,0,0
Adult\00112.jpg,0,0
Adult\00122.jpg,0,0
Adult\00143.jpg,0,0
Adult\00176.jpg,0,0
Adult\00251.jpg,0,0
Adult\00311.jpg,0,0
Adult\00331.jpg,0,0
Adult\00333.jpg,0,0
Adult\00357.jpg,0,0
Adult\00369.jpg,0,0
Adult\00376.jpg,0,0
Adult\00423.jpg,0,0
Adult\00443.jpg,0,0
Adult\00461.jpg,0,0
Adult\00479.jpg,0,0
Adult\00486.jpg,0,0
Adult\00516.jpg,0,0
Adult\00532.jpg,0,0
Adult\00558.jpg,0,0
Adult\00565.jpg,0,0
Adult\00569.jpg,0,0
Adult\00592.jpg,0,0
Adult\00594.jpg,0,0
Adult\00627.jpg,0,0
Adult\00666.jpg,0,0
Adult\00687.jpg,0,0
Adult\00729.jpg,0,0
Adult\00741.jpg,0,0
Adult\00747.jpg,0,0
Adult\00753.jpg,0,0
Adult\00757.jpg,0,0
Adult\00775.jpg,0,0
Adult\00790.jpg,0,0
Adult\00793.jpg,0,0
Adult\00799.jpg,0,0
Adult\00807.jpg,0,0
Adult\00817.jpg,0,0
Adult\00818.jpg,0,0
Adult\00825.jpg,0,0
Adult\00842.jpg,0,0
Adult\00890.jpg,0,0
Adult\00896.jpg,0,0
Adult\01078.jpg,0,0
Adult\01101.jpg,0,0
Adult\01109.jpg,0,0
Adult\01139.jpg,1,0
Adult\01151.jpg,0,0
Adult\01152.jpg,0,0
Adult\01153.jpg,0,0
Adult\01158.jpg,0,0
Adult\01166.jpg,0,0
Adult\01167.jpg,1,0
Adult\01172.jpg,0,0
Adult\01188.jpg,0,0
Adult\01191.jpg,0,0
Adult\01200.jpg,0,0
Adult\01206.jpg,0,0
Adult\01214.jpg,1,0
Adult\01216.jpg,0,0
Adult\01277.jpg,0,0
Adult\01289.jpg,0,0
Adult\01311.jpg,0,0
Adult\01314.jpg,0,0
Adult\01322.jpg,0,0
Adult\01325.jpg,0,0
Adult\01337.jpg,0,0
Adult\01340.jpg,0,0
Adult\01346.jpg,0,0
Adult\01360.jpg,0,0
Adult\01366.jpg,0,0
Adult\01368.jpg,0,0
Adult\01377.jpg,0,0
Adult\01392.jpg,0,0
Adult\01418.jpg,1,0
Adult\01422.jpg,0,0
Adult\01450.jpg,0,0
Adult\01452.jpg,0,0
Adult\01461.jpg,1,0
Adult\01483.jpg,0,0
Adult\01484.jpg,0,0
Adult\01486.jpg,0,0
Adult\01487.jpg,0,0
Adult\01503.jpg,0,0
Adult\01509.jpg,0,0
Adult\01513.jpg,0,0
Adult\01515.jpg,0,0
Adult\01526.jpg,0,0
Adult\01542.jpg,0,0
Adult\01558.jpg,0,0
Adult\01567.jpg,0,0
Adult\01574.jpg,1,0
Adult\01601.jpg,0,0
Adult\01603.jpg,0,0
Adult\01608.jpg,0,0
Adult\01622.jpg,0,0
Adult\01632.jpg,0,0
Adult\01644.jpg,0,0
Adult\01647.jpg,0,0
Adult\01666.jpg,0,0
Adult\01675.jpg,0,0
Adult\01705.jpg,0,0
Adult\01715.jpg,0,0
Adult\01716.jpg,0,0
Adult\01721.jpg,0,0
Adult\01725.jpg,0,0
Adult\01760.jpg,0,0
Adult\01775.jpg,0,0
Adult\01781.jpg,0,0
Adult\01783.jpg,0,0
Adult\01793.jpg,0,0
Adult\01799.jpg,0,0
Adult\01808.jpg,0,0
Adult\01816.jpg,0,0
Adult\01825.jpg,0,0
Adult\01827.jpg,0,0
Adult\01854.jpg,0,0
Adult\01856.jpg,0,0
Adult\01857.jpg,0,0
Adult\01869.jpg,0,0
Adult\01879.jpg,0,0
Adult\01901.jpg,0,0
Adult\01942.jpg,0,0
Adult\01950.jpg,0,0
Adult\01951.jpg,0,0
Adult\01971.jpg,0,0
Adult\01995.jpg,0,0
Adult\02000.jpg,0,0
Adult\02004.jpg,0,0
