Image Name,Predicted,Ground Truth
rice leaf roller\00001.jpg,0,0
rice leaf roller\00004.jpg,0,0
rice leaf roller\00007.jpg,0,0
rice leaf roller\00010.jpg,0,0
rice leaf roller\00023.jpg,0,0
rice leaf roller\00026.jpg,0,0
rice leaf roller\00044.jpg,0,0
rice leaf roller\00046.jpg,0,0
rice leaf roller\00049.jpg,2,0
rice leaf roller\00054.jpg,0,0
rice leaf roller\00058.jpg,4,0
rice leaf roller\00063.jpg,0,0
rice leaf roller\00066.jpg,0,0
rice leaf roller\00067.jpg,0,0
rice leaf roller\00070.jpg,0,0
rice leaf roller\00079.jpg,0,0
rice leaf roller\00090.jpg,3,0
rice leaf roller\00097.jpg,0,0
rice leaf roller\00105.jpg,0,0
rice leaf roller\00108.jpg,48,0
rice leaf roller\00112.jpg,0,0
rice leaf roller\00114.jpg,3,0
rice leaf roller\00117.jpg,0,0
rice leaf roller\00122.jpg,0,0
rice leaf roller\00123.jpg,0,0
rice leaf roller\00127.jpg,0,0
rice leaf roller\00134.jpg,0,0
rice leaf roller\00140.jpg,0,0
rice leaf roller\00142.jpg,0,0
rice leaf roller\00143.jpg,0,0
rice leaf roller\00154.jpg,0,0
rice leaf roller\00176.jpg,0,0
rice leaf roller\00177.jpg,1,0
rice leaf roller\00192.jpg,0,0
rice leaf roller\00204.jpg,0,0
rice leaf roller\00218.jpg,0,0
rice leaf roller\00232.jpg,45,0
rice leaf roller\00236.jpg,0,0
rice leaf roller\00237.jpg,0,0
rice leaf roller\00238.jpg,0,0
rice leaf roller\00247.jpg,0,0
rice leaf roller\00251.jpg,0,0
rice leaf roller\00255.jpg,0,0
rice leaf roller\00256.jpg,0,0
rice leaf roller\00259.jpg,0,0
rice leaf roller\00261.jpg,0,0
rice leaf roller\00266.jpg,11,0
rice leaf roller\00272.jpg,0,0
rice leaf roller\00274.jpg,0,0
rice leaf roller\00279.jpg,0,0
rice leaf roller\00282.jpg,0,0
rice leaf roller\00287.jpg,3,0
rice leaf roller\00288.jpg,88,0
rice leaf roller\00300.jpg,0,0
rice leaf roller\00307.jpg,0,0
rice leaf roller\00309.jpg,0,0
rice leaf roller\00311.jpg,86,0
rice leaf roller\00317.jpg,0,0
rice leaf roller\00318.jpg,0,0
rice leaf roller\00331.jpg,0,0
rice leaf roller\00333.jpg,0,0
rice leaf roller\00336.jpg,39,0
rice leaf roller\00342.jpg,4,0
rice leaf roller\00345.jpg,0,0
rice leaf roller\00351.jpg,3,0
rice leaf roller\00352.jpg,0,0
rice leaf roller\00357.jpg,0,0
rice leaf roller\00369.jpg,0,0
rice leaf roller\00375.jpg,0,0
rice leaf roller\00376.jpg,0,0
rice leaf roller\00390.jpg,0,0
rice leaf roller\00391.jpg,0,0
rice leaf roller\00394.jpg,0,0
rice leaf roller\00404.jpg,0,0
rice leaf roller\00406.jpg,0,0
rice leaf roller\00407.jpg,1,0
rice leaf roller\00410.jpg,0,0
rice leaf roller\00413.jpg,0,0
rice leaf roller\00416.jpg,45,0
rice leaf roller\00418.jpg,0,0
rice leaf roller\00421.jpg,0,0
rice leaf roller\00423.jpg,0,0
rice leaf roller\00430.jpg,0,0
rice leaf roller\00431.jpg,0,0
rice leaf roller\00438.jpg,0,0
rice leaf roller\00443.jpg,0,0
rice leaf roller\00448.jpg,0,0
rice leaf roller\00456.jpg,0,0
rice leaf roller\00461.jpg,0,0
rice leaf roller\00474.jpg,0,0
rice leaf roller\00479.jpg,0,0
rice leaf roller\00483.jpg,38,0
rice leaf roller\00485.jpg,0,0
rice leaf roller\00486.jpg,0,0
rice leaf roller\00492.jpg,0,0
rice leaf roller\00495.jpg,26,0
rice leaf roller\00500.jpg,0,0
rice leaf roller\00502.jpg,0,0
rice leaf roller\00505.jpg,0,0
rice leaf roller\00507.jpg,0,0
rice leaf roller\00509.jpg,0,0
rice leaf roller\00512.jpg,0,0
rice leaf roller\00516.jpg,0,0
rice leaf roller\00524.jpg,0,0
rice leaf roller\00527.jpg,0,0
rice leaf roller\00532.jpg,0,0
rice leaf roller\00536.jpg,0,0
rice leaf roller\00540.jpg,0,0
rice leaf roller\00547.jpg,0,0
rice leaf roller\00548.jpg,0,0
rice leaf roller\00551.jpg,1,0
rice leaf roller\00552.jpg,0,0
rice leaf roller\00558.jpg,0,0
rice leaf roller\00559.jpg,0,0
rice leaf roller\00562.jpg,0,0
rice leaf roller\00563.jpg,0,0
rice leaf roller\00565.jpg,0,0
rice leaf roller\00569.jpg,0,0
rice leaf roller\00576.jpg,45,0
rice leaf roller\00580.jpg,0,0
rice leaf roller\00585.jpg,0,0
rice leaf roller\00592.jpg,0,0
rice leaf roller\00593.jpg,1,0
rice leaf roller\00594.jpg,0,0
rice leaf roller\00600.jpg,0,0
rice leaf roller\00615.jpg,0,0
